Arquivos importados,Tempo acumulado MySQL,Tempo acumulado MongoDB
764000,9062.708537000002,1316.7733489999996
765000,9085.530862000001,1318.7833509999996
766000,9096.445018000002,1320.7232619999995
767000,9106.477905000002,1322.6726669999996
768000,9121.242245000001,1324.6827819999996
769000,9132.031647000002,1326.4734699999997
770000,9141.478606000002,1328.3012889999998
771000,9151.411727000002,1330.1309349999997
772000,9162.824484000002,1331.9868959999997
773000,9174.751423000003,1333.9551759999997
774000,9184.776028000004,1335.8808099999997
775000,9195.568379000004,1337.7220449999998
776000,9208.650397000003,1339.5471349999998
777000,9221.083191000003,1341.3697939999997
778000,9236.095607000003,1343.3085579999997
779000,9248.960036000002,1345.1587589999997
780000,9265.649618000003,1347.0182849999997
781000,9276.611523000003,1348.8799169999998
782000,9292.655094000003,1351.1225169999998
783000,9301.975656000004,1352.9182419999997
784000,9313.248312000003,1354.7437279999997
785000,9323.428950000003,1356.5516119999997
786000,9346.716170000003,1358.5299419999997
787000,9358.417567000004,1360.4810519999996
788000,9368.628895000003,1362.2938689999996
789000,9377.432838000004,1364.1055579999995
790000,9384.539013000005,1365.9175069999994
791000,9392.996625000005,1368.0762269999993
792000,9403.819466000004,1369.8982209999992
793000,9411.732368000004,1371.7171739999992
794000,9419.582793000005,1373.4992859999993
795000,9426.458308000005,1375.3077049999993
796000,9433.850345000004,1377.0649879999992
797000,9441.975813000005,1378.888994999999
798000,9453.802616000004,1380.733175999999
799000,9460.559243000005,1382.519315999999
800000,9467.988129000005,1384.306310999999
801000,9474.762798000005,1386.077863999999
802000,9484.294832000005,1387.9293979999989
803000,9500.688147000004,1390.1928149999987
804000,9518.431156000004,1392.0639259999987
805000,9530.168166000005,1393.9276999999986
806000,9547.238524000006,1395.7898819999987
807000,9570.071612000005,1397.7655299999988
808000,9590.829500000005,1399.7091399999988
809000,9605.120535000005,1401.628587999999
810000,9614.592659000005,1403.468357999999
811000,9625.798566000005,1405.330000999999
812000,9632.993132000005,1407.147168999999
813000,9641.181161000006,1408.988726999999
814000,9648.208496000007,1410.812193999999
815000,9654.207646000006,1412.597679999999
816000,9661.568162000007,1414.3741529999988
817000,9668.456430000007,1416.179778999999
818000,9681.147812000008,1418.048484999999
819000,9693.146558000008,1419.8774049999988
820000,9702.198067000008,1421.6391899999987
821000,9709.974877000008,1423.4247269999987
822000,9728.951867000007,1425.4361969999986
823000,9741.172884000007,1427.2367689999987
824000,9751.171982000007,1429.0244139999988
825000,9760.636622000007,1430.824087999999
826000,9778.971661000007,1432.6623409999988
827000,9802.921495000006,1434.496377999999
828000,9816.856284000007,1436.2791879999988
829000,9829.564836000007,1438.0783419999989
830000,9839.229560000007,1439.8651489999988
831000,9858.732555000008,1441.711400999999
832000,9866.752202000007,1443.4978289999988
833000,9874.333158000007,1445.2934629999988
834000,9885.065708000007,1447.105515999999
835000,9893.438682000007,1448.945090999999
836000,9906.323971000007,1450.8261409999989
837000,9912.952822000007,1452.5814099999989
838000,9922.576685000007,1454.3808909999989
839000,9930.318645000007,1456.124423999999
840000,9937.127375000007,1457.881101999999
841000,9944.533671000007,1459.661609999999
842000,9966.924676000006,1462.668109999999
843000,9974.594116000006,1464.427815999999
844000,9983.375811000005,1466.219457999999
845000,9991.154016000006,1468.022289999999
846000,10004.976655000006,1469.867103999999
847000,10013.827145000007,1471.700691999999
848000,10037.703779000007,1473.626982999999
849000,10049.766157000007,1475.494715999999
850000,10060.596689000007,1477.280626999999
851000,10073.990186000006,1479.140138999999
852000,10087.143241000007,1480.9708709999989
853000,10104.254509000008,1482.8470139999988
854000,10116.146463000008,1484.7138979999988
855000,10123.276376000009,1486.5357139999987
856000,10133.720678000009,1488.6786289999986
857000,10140.798583000009,1490.4540089999987
858000,10148.51709300001,1492.2302359999987
859000,10157.46837400001,1494.0263579999987
860000,10165.751373000008,1495.7813149999988
861000,10179.904290000008,1497.6099509999988
862000,10191.455352000008,1499.4466979999988
863000,10198.669091000009,1501.1705259999987
864000,10209.48801900001,1502.9928119999988
865000,10216.83186800001,1504.788881999999
866000,10225.65599900001,1506.530371999999
867000,10232.77413300001,1508.256669999999
868000,10242.56243300001,1510.120558999999
869000,10249.456854000011,1511.8636829999991
870000,10257.20373000001,1513.5959919999991
871000,10262.34148400001,1515.3383359999991
872000,10268.09896000001,1517.1079419999992
873000,10274.21388900001,1518.8627769999991
874000,10283.33004500001,1520.6690839999992
875000,10296.11572100001,1522.4871489999991
876000,10310.02921600001,1524.3168509999991
877000,10320.53664200001,1526.0881889999991
878000,10332.72554200001,1527.9042089999991
879000,10341.02632000001,1529.637989999999
880000,10360.34820500001,1531.563544999999
881000,10369.071822000009,1533.357158999999
882000,10380.809565000009,1535.167528999999
883000,10386.39816900001,1536.894922999999
884000,10393.00240400001,1538.666336999999
885000,10403.33723100001,1540.447387999999
886000,10411.073548000011,1542.192116999999
887000,10417.51366800001,1543.911431999999
888000,10424.37795300001,1545.667429999999
889000,10432.39039600001,1547.4276739999991
890000,10438.913761000009,1549.1883639999992
891000,10444.869265000008,1550.9320649999993
892000,10453.89352700001,1552.7678929999993
893000,10461.17793900001,1554.5121689999992
894000,10466.96261100001,1556.2945459999992
895000,10472.97103800001,1557.9934149999992
896000,10480.71800100001,1559.7191649999993
897000,10486.95350400001,1561.4501939999993
898000,10493.31950400001,1563.1768229999993
899000,10499.87227100001,1564.9536269999994
900000,10513.50873800001,1566.7176139999995
901000,10519.67004400001,1568.4393749999995
902000,10531.423642000009,1570.2220189999994
903000,10537.324029000009,1571.9555389999994
904000,10543.699738000008,1573.7183079999993
905000,10549.770317000008,1575.4375979999993
906000,10559.592034000008,1577.2664639999994
907000,10565.041812000009,1579.0276469999994
908000,10569.883903000009,1580.7956759999995
909000,10580.07223200001,1582.5736599999996
910000,10601.55266000001,1584.4276159999995
911000,10625.90456700001,1586.3170189999994
912000,10638.46533500001,1588.1146859999994
913000,10652.45007100001,1589.9331809999994
914000,10664.64823100001,1591.7083419999994
915000,10675.65232100001,1593.4859099999994
916000,10689.51687500001,1595.3248519999995
917000,10702.14102700001,1597.1506129999996
918000,10720.038279000011,1599.0193239999996
919000,10738.148294000011,1601.1100559999995
920000,10754.375575000011,1602.9465419999995
921000,10764.250280000011,1604.7177269999995
922000,10777.341350000012,1606.6274659999995
923000,10792.389847000011,1608.4991729999995
924000,10808.125760000012,1610.3542589999995
925000,10822.275904000011,1612.1640899999995
926000,10846.92141700001,1614.4719889999994
927000,10865.96290800001,1616.3640989999994
928000,10879.46182100001,1618.2287889999996
929000,10898.69250500001,1620.1812689999995
930000,10911.74668000001,1622.0211359999994
931000,10921.59894200001,1623.7965389999995
932000,10946.74080200001,1625.6662429999994
933000,10982.23410300001,1628.3406569999995
934000,11008.58337800001,1630.2779949999995
935000,11023.78210100001,1632.5077569999994
936000,11040.28408500001,1634.4335649999994
937000,11055.87138200001,1636.3827169999993
938000,11081.24107500001,1638.3878799999993
939000,11094.88422400001,1640.4850739999993
940000,11107.39198700001,1642.3283479999993
941000,11122.35957500001,1644.1655879999994
942000,11149.753744000009,1646.1487199999995
943000,11187.42922600001,1648.2143929999995
944000,11204.04528100001,1650.2912439999996
945000,11214.46859300001,1652.4521759999996
946000,11226.04938800001,1654.3214339999995
947000,11241.57658600001,1656.2209909999995
948000,11266.55987000001,1658.1326879999995
949000,11277.44724600001,1659.9491339999995
950000,11288.703696000011,1661.7590259999995
951000,11302.37746600001,1663.6194469999996
952000,11311.63881900001,1665.4517999999996
953000,11330.99327000001,1667.4481869999995
954000,11344.77622700001,1669.3212479999995
955000,11359.85648700001,1671.2499429999996
956000,11369.97380300001,1673.0753149999996
957000,11386.32044300001,1675.2964849999996
958000,11411.08507600001,1677.2362789999995
959000,11421.66658700001,1679.1177009999994
960000,11442.695324000011,1681.2224779999995
961000,11465.585209000012,1683.3445799999995
962000,11486.677807000011,1685.3062159999995
963000,11510.890927000011,1687.5501329999995
964000,11534.80952800001,1689.4574779999996
965000,11561.636091000011,1691.4024959999995
966000,11581.668471000012,1693.3231719999994
967000,11594.412815000012,1695.1845109999995
968000,11614.654674000012,1697.1345839999994
969000,11635.055319000012,1699.0408439999994
970000,11647.285178000011,1700.9276109999994
971000,11658.657950000012,1702.8241449999994
972000,11689.419850000011,1704.8794159999993
973000,11701.461674000011,1706.7498499999992
974000,11713.23119300001,1708.6300039999992
975000,11720.315407000011,1710.426697999999
976000,11733.79230000001,1712.317546999999
977000,11740.47509700001,1714.109404999999
978000,11749.69126900001,1715.965283999999
979000,11763.28004000001,1717.826415999999
980000,11772.186169000011,1719.615125999999
981000,11789.77784800001,1721.472390999999
982000,11803.91518300001,1723.2981419999992
983000,11821.96395800001,1725.187992999999
984000,11853.55469500001,1728.0761089999992
985000,11870.71626600001,1729.9689979999991
986000,11888.70104700001,1731.878607999999
987000,11908.08501200001,1734.220684999999
988000,11923.719766000011,1736.1128569999992
989000,11941.36186200001,1738.0513069999993
990000,11955.956919000011,1739.9585259999992
991000,11969.993260000012,1742.1352399999992
992000,11981.861245000013,1744.0043129999992
993000,11993.354929000012,1745.8386379999993
994000,12012.340529000012,1747.7392579999992
995000,12029.574018000012,1749.6789179999992
996000,12043.827605000011,1751.551204999999
997000,12062.668214000012,1753.457580999999
998000,12085.165680000013,1755.376642999999
999000,12097.404464000012,1757.234128999999
1000000,12115.434772000011,1759.094755999999
1001000,12135.359721000012,1760.991702999999
1002000,12157.805209000011,1762.916905999999
1003000,12177.122418000012,1764.786159999999
1004000,12193.430930000011,1766.664536999999
1005000,12226.80820600001,1768.6675449999989
1006000,12239.88392900001,1770.595544999999
1007000,12253.60268400001,1772.491009999999
1008000,12271.36840900001,1774.356897999999
1009000,12285.74397800001,1776.2259749999992
1010000,12303.50057200001,1778.1161609999992
1011000,12338.47963400001,1780.0669219999993
1012000,12362.07397600001,1781.9623139999992
1013000,12394.42543400001,1783.9144259999991
1014000,12427.37880200001,1785.868492999999
1015000,12457.83774100001,1788.351411999999
1016000,12484.01548800001,1790.279727999999
1017000,12521.93578400001,1792.333460999999
1018000,12537.94385800001,1794.167646999999
1019000,12558.90965400001,1796.0409499999992
1020000,12587.32362000001,1798.0835579999991
